index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3566,855f66f7-d6ed-40a5-96b3-1bb2dfae0a55,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,107,1,10,52,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,107,,-1,-1
3567,a625e39f-745b-4d3e-a8c3-33701c009925,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,107,1,10,52,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,107,,-1,-1
3568,4098803d-5ac8-4910-a185-876721b7bf48,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,107,2,10,52,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,107,,-1,-1
4472,1f7e6d5c-fcb3-4764-9a4d-17fced631d6b,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,107,5,38,-1,-1,97,,"[quantity: (1, 5), time: (102, 107), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,-1,,-1,-1
3569,54664119-7e63-4814-83f0-401f58a173f7,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,107,3,35,52,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,107,,-1,-1
3570,a044dc6c-9d58-4a9d-a310-8c7ae0c799aa,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,107,1,35,52,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,107,,-1,-1
4469,30d30066-fbb3-417b-b49f-1bc5b7e35e1f,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,107,34,25,97,-1,97,05Dec@2|03Dec@1,"[quantity: (1, 34), time: (97, 107), unit_price: (1, 25)]",03Dec@1,05Dec@2,p2,05Dec@2,True,2,2,-1,03Dec@1:product(0.2647058823529412),-1,-1
4536,30116fcf-5c6d-4086-a02e-7e3de09ec691,00Ind@0,02MyA@1,IndDecentralizingAgent,MyAgent,107,70,18,-1,-1,103,,"[quantity: (1, 70), time: (103, 107), unit_price: (1, 18)]",00Ind@0,02MyA@1,p1,02MyA@1,True,1,2,-1,,-1,-1
3554,37d83e18-7348-49b4-bc82-6ac940a43b9f,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,107,2,10,52,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,107,,-1,-1
4565,81751f6a-7161-4ea6-b816-bfd15c548cd5,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,107,5,9,106,-1,106,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (106, 108), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,107,,-1,-1
3553,a12b257b-ee6f-46f0-9c53-57d033cee830,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,107,2,10,52,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,107,,-1,-1
3552,afaf0790-27e8-4c30-990d-e3d7687c5f4b,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,107,1,10,52,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,107,,-1,-1
