index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1359,a8a3a7a3-8229-4bf3-b3ce-d5557884b2d6,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,11,40,38,3,-1,3,03Dec@1|04Dec@2,"[quantity: (1, 40), time: (6, 11), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,16,11,,-1,-1
1360,7d60aad1-b843-4d16-99a7-c628cfdc1fc2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,2,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,59,,-1,-1
1361,81590f64-fd28-463f-9335-e7e4c8e61d1e,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,59,,-1,-1
1362,a769e52f-bd8d-4b40-8395-10f6a05f039d,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,3,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,59,,-1,-1
1363,6d4959f3-8ddf-4d0b-9bd5-39508fff217c,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,59,1,10,4,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,59,,-1,-1
1364,c28d365c-d402-493a-8179-36e559814df6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,2,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,59,,-1,-1
1365,3000d427-a2e9-46ac-a380-01826b97154a,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,59,3,10,4,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,59,,-1,-1
1366,aa0bc78b-bd3d-4bc0-a5f9-0e802e1ba2b3,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,59,1,10,4,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,59,,-1,-1
1367,db95be63-592f-47f1-82fb-67ae1abf079a,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,59,,-1,-1
1368,b9469c7b-603f-4dc3-a5cd-4faa549d667d,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,59,2,10,4,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,59,,-1,-1
1369,9c210be3-e568-409f-9fce-9fae95d62592,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,59,,-1,-1
1370,54dd3447-0c7d-457d-afe5-adc610719082,02MyA@1,04Dec@2,MyAgent,DecentralizingAgent,8,8,36,4,-1,4,02MyA@1|04Dec@2,"[quantity: (1, 8), time: (4, 9), unit_price: (25, 49)]",02MyA@1,04Dec@2,p2,02MyA@1,False,2,17,8,,-1,-1
1371,fb028d03-d879-4b1a-8687-e1cd4556232c,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,59,,-1,-1
1372,e28e8d9c-56be-4177-87ca-35c9269a7ade,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,59,2,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,59,,-1,-1
1373,c2edc942-6225-4ead-86c9-ca7284536f46,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,12,5,38,4,-1,4,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (7, 12), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,12,,-1,-1
1374,4cf8c859-04d3-4043-b927-34c8b35ec561,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,60,1,10,5,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,60,,-1,-1
