,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
472,3,72,20,10.0,7,39.0,12,2.0
473,3,73,20,10.0,11,38.0,9,7.0
474,3,74,20,10.0,12,41.5,20,5.1
475,3,75,20,10.0,11,41.0,5,1.0
476,3,76,20,10.0,12,40.083333333333336,0,
477,3,77,20,10.0,16,37.0,12,1.4166666666666667
478,3,78,20,10.0,14,42.0,0,
479,3,79,20,10.0,0,,10,2.2
480,3,80,20,10.0,13,41.0,12,4.166666666666667
481,3,81,20,10.0,15,42.0,2,7.0
482,3,82,20,10.0,14,33.42857142857143,4,1.0
483,3,83,20,10.0,13,41.07692307692308,40,3.2
484,3,84,20,10.0,5,41.0,18,5.111111111111111
485,3,85,20,10.0,14,42.0,7,2.0
486,3,86,20,10.0,0,,10,4.0
487,3,87,20,10.0,12,39.833333333333336,29,5.068965517241379
488,3,88,20,10.0,20,40.0,13,4.384615384615385
489,3,89,20,10.0,0,,16,2.625
490,3,90,20,10.0,9,40.0,14,6.0
491,3,91,20,10.0,19,39.0,0,
492,3,92,20,10.0,13,39.92307692307692,15,5.0
493,3,93,20,10.0,18,40.0,14,1.5
494,3,94,20,10.0,17,42.0,5,1.0
495,3,95,20,10.0,0,,9,5.0
496,3,96,20,10.0,17,41.0,8,3.0
497,3,97,20,10.0,32,37.25,10,3.0
498,3,98,20,10.0,0,,21,1.4285714285714286
499,3,99,20,10.0,0,,11,3.5454545454545454
500,3,100,20,10.0,15,39.53333333333333,10,2.0
501,3,101,20,10.0,1,41.0,17,6.411764705882352
502,3,102,20,10.0,31,41.903225806451616,16,4.5
503,3,103,20,10.0,16,37.0,20,1.55
504,3,104,20,10.0,27,40.77777777777778,0,
505,3,105,20,10.0,6,42.0,3,1.0
506,3,106,20,10.0,21,41.047619047619044,30,3.3
507,3,107,20,10.0,0,,7,1.0
508,3,108,20,10.0,0,,23,3.608695652173913
509,3,109,20,10.0,10,42.0,7,3.0
510,3,110,20,10.0,33,37.48484848484848,6,3.0
511,3,111,20,10.0,13,39.615384615384606,7,3.0
512,3,112,20,10.0,4,38.0,8,4.25
513,3,113,20,10.0,12,42.0,3,1.0
514,3,114,20,10.0,8,40.875,13,3.5384615384615383
515,3,115,20,10.0,13,40.53846153846154,26,2.8461538461538463
516,3,116,20,10.0,2,42.0,3,8.0
517,3,117,20,10.0,20,41.15,18,2.888888888888889
518,3,118,20,10.0,11,40.54545454545455,30,3.966666666666667
519,3,119,20,10.0,13,34.230769230769226,21,3.761904761904762
520,3,120,20,10.0,2,40.0,7,7.0
521,3,121,20,10.0,13,41.0,21,1.9523809523809523
522,3,122,20,10.0,5,40.0,24,3.7916666666666665
523,3,123,20,10.0,14,37.0,8,3.0
524,3,124,20,10.0,15,42.0,9,3.0
525,3,125,20,10.0,0,,22,3.863636363636364
526,3,126,20,10.0,17,41.0,16,2.0
527,3,127,20,10.0,16,38.75,0,
528,3,128,20,10.0,0,,17,2.176470588235294
529,3,129,20,10.0,46,37.43478260869565,26,3.7307692307692313
530,3,130,20,10.0,0,,17,2.235294117647059
