index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1998,94ef8754-0e91-4b5c-acbb-f5da24aa8418,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,3,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1999,ef627b30-a5b5-4175-99e6-6d09761f35b8,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,2,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
2000,9f442867-6d42-4c9d-817a-46fbc6d19226,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,112,,-1,-1
2001,ed6bf536-54d4-4ad2-a946-a40e4c9d3d7f,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,2,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
2002,a6de0eb2-ead9-4533-82db-e7c9fc11464e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,113,1,10,59,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,113,,-1,-1
2003,700bb5e7-d0b4-447f-aeca-a5e122f1e5f8,03Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,69,16,58,59,-1,59,03Ind@1|05Ran@2,"[quantity: (1, 16), time: (64, 69), unit_price: (29, 58)]",03Ind@1,05Ran@2,p2,03Ind@1,False,2,11,69,,-1,-1
2004,c9bec202-37ab-49f5-9612-e37213e423f1,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,59,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
2005,f9fdeeaa-2593-4a2b-88c4-66984a97cd0e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,113,3,10,59,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,113,,-1,-1
2006,d4b55fef-eb07-410b-af3a-fc309db9a15c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,113,1,10,59,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,113,,-1,-1
2007,f88ecaa3-dbb9-4891-9d2d-e2f05c213a5d,05Ran@2,BUYER,RandomAgent,_SystemAgent,113,4,38,59,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
