index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
564,e08eb706-5e3f-4abc-bd34-b9dc9c56ec84,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,55,5,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,55,,-1,-1
565,55d75be7-8d17-4775-b2a0-f0b63f3c636b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,2,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,2,,-1,-1
566,d3d87a66-7f81-47bc-ae55-ff28b3634359,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,52,2,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
567,6c059418-78d5-46de-9c1d-6fe146ea42ed,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,13,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
568,c6de3293-1239-4a6f-ab8e-15e7d2c3d445,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,27,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
569,77a4002c-1a99-4a10-b84f-15a08237e9dd,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,33,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,33,,-1,-1
570,542d826d-b04e-45e0-9bd9-20bba7fc57f0,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,4,3,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,4,,-1,-1
571,15098b2b-94de-428e-a008-711a7eb26245,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,55,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,55,,-1,-1
572,3bba6b3f-9088-4cc0-b73a-e117d3f2b7b6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,16,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,16,,-1,-1
573,02628fc6-22f1-424b-ade6-c6ffc726e60f,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,67,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
574,bdf1620d-428b-4aa5-b028-a3a279aacf73,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,65,3,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
575,4bbe0cb2-ebe5-4ea3-b575-188cc723e0eb,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,48,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
576,f7bf991d-e43e-4876-bd2d-8c8cd67af31f,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,12,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,12,,-1,-1
577,45f1a0ed-0f00-4dff-9de6-832af533e143,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,22,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
578,e45df710-3dfc-42be-8cd9-6f127e1b047e,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,73,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,73,,-1,-1
579,b57e5682-125f-455f-8e9b-ac0b5961be05,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,41,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
580,f625ee32-464a-49d8-95d8-2ba6c636e8f4,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,67,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,67,,-1,-1
581,22426e1e-bfc4-4572-a851-c12a8367e55c,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,31,4,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,31,,-1,-1
582,3e800a07-3d93-48bd-b6a5-821cca3454c3,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,19,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,19,,-1,-1
583,3923a4d3-4b9f-407e-baa1-ab40eb1c4b2b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,49,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,49,,-1,-1
584,fca87046-5e69-4f54-bc44-7fea97f97135,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,67,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,67,,-1,-1
585,da4db291-7f67-40de-8615-d31d5f568fc5,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,50,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,50,,-1,-1
586,28c246cc-67e1-4d0a-a21e-67c160c646f3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,43,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,43,,-1,-1
587,d21ac49c-1919-440b-b40a-cde95b97fb7d,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,44,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,44,,-1,-1
588,f9e6332a-82c4-49ec-b792-ea3f1a2a4b51,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,71,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,71,,-1,-1
589,9339f50c-4627-4c8d-b409-2b2a147574dd,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,18,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,18,,-1,-1
590,7a0f9479-d353-4f31-b3d0-45515d204de3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,30,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,30,,-1,-1
591,b9b0e722-04a7-4546-978f-37ce40d7190b,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,30,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
592,0ad05ba3-d595-4f4f-af89-9fb75f397e30,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,26,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
593,33f2a573-6034-4a81-be13-e26e4d3b5800,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,72,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,72,,-1,-1
