index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
946,f89b13d1-db84-4c5a-acd6-99565112f08c,05Ran@2,BUYER,RandomAgent,_SystemAgent,44,1,29,27,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
947,b2dee501-56f6-4993-929a-51a777a20a66,05Ran@2,BUYER,RandomAgent,_SystemAgent,44,2,29,27,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
948,c6def7ea-e93b-45b1-a77b-62edf9b4068e,05Ran@2,BUYER,RandomAgent,_SystemAgent,44,1,29,27,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
949,0b3c87ce-c515-42f5-8160-0d97a9e732c2,03Buy@1,04Dec@2,BuyCheapSellExpensiveAgent,DecentralizingAgent,31,8,12,27,-1,27,04Dec@2|03Buy@1,"[quantity: (1, 10), time: (27, 31), unit_price: (1, 22)]",03Buy@1,04Dec@2,p2,04Dec@2,True,2,17,-1,03Buy@1:product(1.0),-1,-1
950,eb426d41-5a1c-4652-a24a-ccec73c812cf,SELLER,01Ran@0,_SystemAgent,RandomAgent,44,4,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,44,,-1,-1
951,bd8fc5fd-f7aa-46f2-8e72-4913e375fcdf,SELLER,01Ran@0,_SystemAgent,RandomAgent,44,1,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,44,,-1,-1
952,bef4d573-24ff-4544-991c-4654a0a77cd8,SELLER,01Ran@0,_SystemAgent,RandomAgent,44,1,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,44,,-1,-1
953,8e9ebcd0-d4cd-488e-bf00-e60650c38062,SELLER,01Ran@0,_SystemAgent,RandomAgent,44,2,10,27,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,44,,-1,-1
954,d9d0a072-d371-4b17-989d-eadc0d7c76d8,05Ran@2,BUYER,RandomAgent,_SystemAgent,44,1,29,27,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
955,744f10e3-6c33-487a-9d9d-fa0ae5f6f7c9,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,44,1,10,27,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,44,,-1,-1
956,6d93a61c-42c6-40a7-865c-d3bd7462007d,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,44,2,10,27,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,44,,-1,-1
