index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
483,ee6e806e-e776-4fac-af1b-d866f3c0cd08,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,38,2,10,16,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,38,,-1,-1
484,ade28710-7d4c-4cba-b8df-351d4233c263,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,26,14,43,16,-1,16,02Dec@1|04Buy@2,"[quantity: (1, 14), time: (21, 26), unit_price: (28, 56)]",02Dec@1,04Buy@2,p2,02Dec@1,False,2,17,26,,-1,-1
485,f897f494-5ecf-4108-b02e-7fb9ca182d2b,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,38,2,10,16,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,38,,-1,-1
486,5e3ab6bf-dc79-4be1-b8de-00c975903d87,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,1,36,16,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
487,6c2a4c6a-c473-48f5-9458-8bd58ab57404,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,2,36,16,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
488,ef49095e-ec78-4b74-a34e-b4bfb7ee2d31,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,2,36,16,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
489,ef1453fc-8d18-49a6-b118-70e7de544887,01Ind@0,02Dec@1,IndDecentralizingAgent,DecentralizingAgent,28,5,10,17,-1,17,02Dec@1|01Ind@0,"[quantity: (1, 5), time: (17, 28), unit_price: (1, 19)]",01Ind@0,02Dec@1,p1,02Dec@1,True,1,17,28,,-1,-1
490,e76c4378-12f0-467b-bd6f-c450cfb9724e,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,39,5,36,17,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,39,,-1,-1
491,4f423895-66ef-432c-915f-adf92c86d70c,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,39,2,10,17,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,39,,-1,-1
492,5ea19d9a-9cae-40e6-9e26-ba0c94096343,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,39,4,10,17,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,39,,-1,-1
493,d9e4538e-ff4e-43a2-8f91-0c8a2aed3b7f,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,39,2,36,17,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,39,,-1,-1
494,72eaa496-691d-43fd-887f-63df438a6049,02Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,24,9,43,17,-1,17,02Dec@1|04Buy@2,"[quantity: (1, 9), time: (22, 27), unit_price: (28, 56)]",02Dec@1,04Buy@2,p2,02Dec@1,False,2,17,24,,-1,-1
495,57a12ea7-7440-4a9d-800e-64e29484f3e0,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,39,2,36,17,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
496,8c613abb-96d8-4439-a9af-9cbc9d0962ab,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,39,4,36,17,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
497,c435eddf-2386-4bef-b0c8-d2aeaeba81ab,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,39,2,10,17,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,39,,-1,-1
